,proteinName,geneName,synonyms,geneID,geneENS
Q92765,Secreted frizzled-related protein 3,FRZB,"['FIZ', 'FRE', 'FRP', 'FRZB1', 'SFRP3']",2487,ENSG00000162998
Q92766,Ras-responsive element-binding protein 1,RREB1,['FINB'],6239,ENSG00000124782
Q92769,Histone deacetylase 2,HDAC2,[],3066,ENSG00000196591
Q92771,Putative ATP-dependent RNA helicase DDX12,DDX12P,"['CHLR2', 'DDX12']",,
Q92772,Cyclin-dependent kinase-like 2,CDKL2,[],8999,ENSG00000138769
Q92777,Synapsin-2,SYN2,[],6854,ENSG00000157152
Q92782,Zinc finger protein neuro-d4,DPF1,"['BAF45B', 'NEUD4']",8193,ENSG00000011332
Q92783,Signal transducing adapter molecule 1,STAM,['STAM1'],8027,ENSG00000136738
Q92784,Zinc finger protein DPF3,DPF3,"['BAF45C', 'CERD4']",8110,ENSG00000205683
Q92785,Zinc finger protein ubi-d4,DPF2,"['BAF45D', 'REQ', 'UBID4']",5977,ENSG00000133884
Q92786,Prospero homeobox protein 1,PROX1,[],5629,ENSG00000117707
Q92791,Endoplasmic reticulum protein SC65,P3H4,"['LEPREL4', 'NOL55', 'SC65']",10609,ENSG00000141696
Q92793,CREB-binding protein,CREBBP,['CBP'],1387,ENSG00000005339
Q92794,Histone acetyltransferase KAT6A,KAT6A,"['MOZ', 'MYST3', 'RUNXBP2', 'ZNF220']",7994,ENSG00000083168
Q92796,Disks large homolog 3,DLG3,['KIAA1232'],1741,ENSG00000082458
Q92797,Symplekin,SYMPK,['SPK'],8189,ENSG00000125755
Q92800,Histone-lysine N-methyltransferase EZH1,EZH1,['KIAA0388'],2145,ENSG00000108799
Q92802,NEDD4-binding protein 2-like 2,N4BP2L2,"['CG005', 'PFAAP5']",10443,ENSG00000244754
Q92804,TATA-binding protein-associated factor 2N,TAF15,"['RBP56', 'TAF2N']",8148,ENSG00000276833
Q92805,Golgin subfamily A member 1,GOLGA1,[],2800,ENSG00000136935
Q92806,G protein-activated inward rectifier potassium channel 3,KCNJ9,['GIRK3'],3765,ENSG00000162728
Q92817,Envoplakin,EVPL,[],2125,ENSG00000167880
Q92820,Gamma-glutamyl hydrolase,GGH,[],8836,ENSG00000137563
Q92823,Neuronal cell adhesion molecule,NRCAM,['KIAA0343'],4897,ENSG00000091129
Q92824,Proprotein convertase subtilisin/kexin type 5,PCSK5,"['PC5', 'PC6']",5125,ENSG00000099139
Q92826,Homeobox protein Hox-B13,HOXB13,[],10481,ENSG00000159184
Q92828,Coronin-2A,CORO2A,"['IR10', 'WDR2']",7464,ENSG00000106789
Q92830,Histone acetyltransferase KAT2A,KAT2A,"['GCN5', 'GCN5L2']",2648,ENSG00000108773
Q92831,Histone acetyltransferase KAT2B,KAT2B,['PCAF'],8850,ENSG00000114166
Q92832,Protein kinase C-binding protein NELL1,NELL1,['NRP1'],4745,ENSG00000165973
Q92833,Protein Jumonji,JARID2,['JMJ'],3720,ENSG00000008083
Q92834,X-linked retinitis pigmentosa GTPase regulator,RPGR,"['RP3', 'XLRP3']",6103,ENSG00000156313
Q92835,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1",INPP5D,"['SHIP', 'SHIP1']",3635,ENSG00000281614
Q92837,Proto-oncogene FRAT1,FRAT1,[],10023,ENSG00000165879
Q92838,Ectodysplasin-A,EDA,"['ED1', 'EDA2']",1896,ENSG00000158813
Q92841,Probable ATP-dependent RNA helicase DDX17,DDX17,[],10521,ENSG00000100201
Q92844,TRAF family member-associated NF-kappa-B activator,TANK,"['ITRAF', 'TRAF2']",10010,ENSG00000136560
Q92845,Kinesin-associated protein 3,KIFAP3,"['KIF3AP', 'SMAP']",22920,ENSG00000075945
Q92847,Growth hormone secretagogue receptor type 1,GHSR,[],2693,ENSG00000121853
Q92851,Caspase-10,CASP10,['MCH4'],843,ENSG00000003400
Q92854,Semaphorin-4D,SEMA4D,"['C9orf164', 'CD100', 'SEMAJ']",10507,ENSG00000187764
Q92858,Transcription factor ATOH1,ATOH1,"['ATH1', 'BHLHA14']",474,ENSG00000172238
Q92859,Neogenin,NEO1,"['IGDCC2', 'NGN']",4756,ENSG00000067141
Q92870,Amyloid beta precursor protein binding family B member 2,APBB2,"['FE65L', 'FE65L1']",323,ENSG00000163697
Q92878,DNA repair protein RAD50,RAD50,[],10111,ENSG00000113522
Q92879,CUGBP Elav-like family member 1,CELF1,"['BRUNOL2', 'CUGBP', 'CUGBP1', 'NAB50']",10658,ENSG00000149187
Q92886,Neurogenin-1,NEUROG1,"['BHLHA6', 'NEUROD3', 'NGN', 'NGN1']",4762,ENSG00000181965
Q92887,ATP-binding cassette sub-family C member 2,ABCC2,"['CMOAT', 'CMOAT1', 'CMRP', 'MRP2']",1244,ENSG00000023839
Q92888,Rho guanine nucleotide exchange factor 1,ARHGEF1,[],9138,ENSG00000076928
Q92889,DNA repair endonuclease XPF,ERCC4,"['ERCC11', 'XPF']",2072,ENSG00000175595
Q92890,Ubiquitin recognition factor in ER-associated degradation protein 1,UFD1,['UFD1L'],7353,ENSG00000070010
Q92896,Golgi apparatus protein 1,GLG1,"['CFR1', 'ESL1', 'MG160']",2734,ENSG00000090863
Q92900,Regulator of nonsense transcripts 1,UPF1,"['KIAA0221', 'RENT1']",5976,ENSG00000005007
Q92902,BLOC-3 complex member HPS1,HPS1,['HPS'],3257,ENSG00000107521
Q92903,Phosphatidate cytidylyltransferase 1,CDS1,['CDS'],1040,ENSG00000163624
Q92904,Deleted in azoospermia-like,DAZL,"['DAZH', 'DAZL1', 'DAZLA', 'SPGYLA']",1618,ENSG00000092345
Q92908,Transcription factor GATA-6,GATA6,[],2627,ENSG00000141448
Q92911,Sodium/iodide cotransporter,SLC5A5,['NIS'],6528,ENSG00000105641
Q92913,Fibroblast growth factor 13,FGF13,['FHF2'],2258,ENSG00000129682
Q92914,Fibroblast growth factor 11,FGF11,['FHF3'],2256,ENSG00000283903
Q92915,Fibroblast growth factor 14,FGF14,['FHF4'],2259,ENSG00000102466
Q92917,G-patch domain and KOW motifs-containing protein,GPKOW,"['GPATC5', 'GPATCH5', 'T54']",27238,ENSG00000068394
Q92918,Mitogen-activated protein kinase kinase kinase kinase 1,MAP4K1,['HPK1'],11184,ENSG00000282928
Q92922,SWI/SNF complex subunit SMARCC1,SMARCC1,['BAF155'],6599,ENSG00000173473
Q92925,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2,SMARCD2,['BAF60B'],6603,ENSG00000108604
Q92932,Receptor-type tyrosine-protein phosphatase N2,PTPRN2,['KIAA0387'],5799,ENSG00000155093
Q92934,Bcl2-associated agonist of cell death,BAD,"['BBC6', 'BCL2L8']",572,ENSG00000002330
Q92935,Exostosin-like 1,EXTL1,['EXTL'],2134,ENSG00000158008
Q92945,Far upstream element-binding protein 2,KHSRP,['FUBP2'],8570,ENSG00000088247
Q92947,"Glutaryl-CoA dehydrogenase, mitochondrial",GCDH,[],2639,ENSG00000105607
Q92949,Forkhead box protein J1,FOXJ1,"['FKHL13', 'HFH4']",2302,ENSG00000129654
Q92952,Small conductance calcium-activated potassium channel protein 1,KCNN1,['SK'],3780,ENSG00000105642
Q92953,Potassium voltage-gated channel subfamily B member 2,KCNB2,[],9312,ENSG00000182674
Q92954,Proteoglycan 4,PRG4,"['MSF', 'SZP']",10216,ENSG00000116690
Q92956,Tumor necrosis factor receptor superfamily member 14,TNFRSF14,"['HVEA', 'HVEM']",8764,ENSG00000273936
Q92959,Solute carrier organic anion transporter family member 2A1,SLCO2A1,"['OATP2A1', 'SLC21A2']",6578,ENSG00000174640
Q92966,snRNA-activating protein complex subunit 3,SNAPC3,['SNAP50'],6619,ENSG00000164975
Q92968,Peroxisomal membrane protein PEX13,PEX13,[],5194,ENSG00000162928
Q92973,Transportin-1,TNPO1,"['KPNB2', 'MIP1', 'TRN']",3842,ENSG00000083312
Q92974,Rho guanine nucleotide exchange factor 2,ARHGEF2,"['KIAA0651', 'LFP40']",9181,ENSG00000116584
Q92979,Ribosomal RNA small subunit methyltransferase NEP1,EMG1,['C2F'],10436,ENSG00000126749
Q92982,Ninjurin-1,NINJ1,[],4814,ENSG00000131669
Q92985,Interferon regulatory factor 7,IRF7,[],3665,ENSG00000276561
Q92988,Homeobox protein DLX-4,DLX4,"['BP1', 'DLX7', 'DLX8', 'DLX9']",1748,ENSG00000108813
Q92993,Histone acetyltransferase KAT5,KAT5,"['HTATIP', 'TIP60']",10524,ENSG00000172977
Q92994,Transcription factor IIIB 90 kDa subunit,BRF1,"['BRF', 'GTF3B', 'TAF3B2', 'TAF3C']",2972,ENSG00000185024
Q92995,Ubiquitin carboxyl-terminal hydrolase 13,USP13,['ISOT3'],8975,ENSG00000058056
Q92997,Segment polarity protein dishevelled homolog DVL-3,DVL3,['KIAA0208'],1857,ENSG00000161202
Q93008,Probable ubiquitin carboxyl-terminal hydrolase FAF-X,USP9X,"['DFFRX', 'FAM', 'USP9']",8239,ENSG00000124486
Q93009,Ubiquitin carboxyl-terminal hydrolase 7,USP7,['HAUSP'],7874,ENSG00000187555
Q93015,N-alpha-acetyltransferase 80,NAA80,"['FUS2', 'NAT6']",24142,ENSG00000243477
Q93033,Immunoglobulin superfamily member 2,CD101,"['EWI101', 'IGSF2', 'V7']",9398,ENSG00000134256
Q93038,Tumor necrosis factor receptor superfamily member 25,TNFRSF25,"['APO3', 'DDR3', 'DR3', 'TNFRSF12', 'WSL', 'WSL1']",8718,ENSG00000215788
Q93045,Stathmin-2,STMN2,"['SCG10', 'SCGN10']",11075,ENSG00000104435
Q93050,V-type proton ATPase 116 kDa subunit a 1,ATP6V0A1,"['ATP6N1', 'ATP6N1A', 'VPP1']",535,ENSG00000033627
Q93052,Lipoma-preferred partner,LPP,[],4026,ENSG00000145012
Q93062,RNA-binding protein with multiple splicing,RBPMS,['HERMES'],11030,ENSG00000157110
Q93063,Exostosin-2,EXT2,[],2132,ENSG00000151348
Q93070,Ecto-ADP-ribosyltransferase 4,ART4,"['DO', 'DOK1']",420,ENSG00000111339
Q93073,Selenocysteine insertion sequence-binding protein 2-like,SECISBP2L,['KIAA0256'],9728,ENSG00000138593
Q93074,Mediator of RNA polymerase II transcription subunit 12,MED12,"['ARC240', 'CAGH45', 'HOPA', 'KIAA0192', 'TNRC11', 'TRAP230']",9968,ENSG00000184634
Q93075,Putative deoxyribonuclease TATDN2,TATDN2,['KIAA0218'],9797,ENSG00000157014
Q93086,P2X purinoceptor 5,P2RX5,['P2X5'],5026,ENSG00000083454
Q93097,Protein Wnt-2b,WNT2B,['WNT13'],7482,ENSG00000134245
Q93098,Protein Wnt-8b,WNT8B,[],7479,ENSG00000075290
Q93100,Phosphorylase b kinase regulatory subunit beta,PHKB,[],5257,ENSG00000102893
Q95460,Major histocompatibility complex class I-related gene protein,MR1,[],3140,ENSG00000153029
Q969E2,Secretory carrier-associated membrane protein 4,SCAMP4,[],113178,ENSG00000227500
Q969E3,Urocortin-3,UCN3,['SPC'],114131,ENSG00000178473
Q969E4,Transcription elongation factor A protein-like 3,TCEAL3,[],85012,ENSG00000196507
Q969E8,Pre-rRNA-processing protein TSR2 homolog,TSR2,[],90121,ENSG00000158526
Q969F0,Fetal and adult testis-expressed transcript protein,FATE1,['FATE'],89885,ENSG00000147378
Q969F1,General transcription factor 3C polypeptide 6,GTF3C6,['C6orf51'],112495,ENSG00000155115
Q969F2,Protein naked cuticle homolog 2,NKD2,[],85409,ENSG00000276920
Q969F8,KiSS-1 receptor,KISS1R,"['AXOR12', 'GPR54']",84634,ENSG00000116014
Q969F9,BLOC-2 complex member HPS3,HPS3,[],84343,ENSG00000163755
Q969G2,LIM/homeobox protein Lhx4,LHX4,[],89884,ENSG00000121454
Q969G3,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1,SMARCE1,['BAF57'],6605,ENSG00000073584
Q969G5,Caveolae-associated protein 3,CAVIN3,"['PRKCDBP', 'SRBC']",112464,ENSG00000170955
Q969G9,Protein naked cuticle homolog 1,NKD1,['NKD'],85407,ENSG00000140807
Q969H0,F-box/WD repeat-containing protein 7,FBXW7,"['FBW7', 'FBX30', 'SEL10']",55294,ENSG00000109670
Q969H4,Connector enhancer of kinase suppressor of ras 1,CNKSR1,['CNK1'],10256,ENSG00000142675
Q969H9,Disrupted in renal carcinoma protein 1,DIRC1,[],,
Q969I6,Sodium-coupled neutral amino acid transporter 4,SLC38A4,"['ATA3', 'NAT3', 'SNAT4']",55089,ENSG00000139209
Q969J2,Zinc finger protein with KRAB and SCAN domains 4,ZKSCAN4,"['ZNF307', 'ZNF427']",387032,ENSG00000187626
Q969J3,BLOC-1-related complex subunit 5,BORCS5,['LOH12CR1'],118426,ENSG00000280689
Q969J5,Interleukin-22 receptor subunit alpha-2,IL22RA2,[],116379,ENSG00000164485
Q969K3,E3 ubiquitin-protein ligase RNF34,RNF34,[],80196,ENSG00000170633
Q969K7,Transmembrane protein 54,TMEM54,"['BCLP', 'CAC1']",113452,ENSG00000121900
Q969M2,Gap junction alpha-10 protein,GJA10,['CX62'],84694,ENSG00000288435
Q969M3,Protein YIPF5,YIPF5,"['FINGER5', 'YIP1A']",81555,ENSG00000145817
Q969P5,F-box only protein 32,FBXO32,[],114907,ENSG00000156804
Q969P6,"DNA topoisomerase I, mitochondrial",TOP1MT,[],116447,ENSG00000184428
Q969Q1,E3 ubiquitin-protein ligase TRIM63,TRIM63,"['IRF', 'MURF1', 'RNF28', 'SMRZ']",84676,ENSG00000158022
Q969Q6,Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma,PPP2R3C,"['C14orf10', 'G5PR']",55012,ENSG00000092020
Q969R2,Oxysterol-binding protein 2,OSBP2,"['KIAA1664', 'ORP4', 'OSBPL4']",23762,ENSG00000184792
Q969R5,Lethal(3)malignant brain tumor-like protein 2,L3MBTL2,[],83746,ENSG00000100395
Q969R8,KICSTOR complex protein ITFG2,ITFG2,[],55846,ENSG00000111203
Q969S2,Endonuclease 8-like 2,NEIL2,[],252969,ENSG00000154328
Q969S3,Cytoplasmic 60S subunit biogenesis factor ZNF622,ZNF622,['ZPR9'],90441,ENSG00000173545
Q969S8,Polyamine deacetylase HDAC10,HDAC10,[],83933,ENSG00000100429
Q969S9,"Ribosome-releasing factor 2, mitochondrial",GFM2,['EFG2'],84340,ENSG00000164347
Q969T3,Sorting nexin-21,SNX21,"['C20orf161', 'SNXL']",90203,ENSG00000124104
Q969T4,Ubiquitin-conjugating enzyme E2 E3,UBE2E3,"['UBCE4', 'UBCH9']",10477,ENSG00000170035
Q969T9,WW domain-binding protein 2,WBP2,[],23558,ENSG00000132471
Q969U6,F-box/WD repeat-containing protein 5,FBXW5,['FBW5'],54461,ENSG00000159069
Q969V3,BOS complex subunit NCLN,NCLN,[],56926,ENSG00000125912
Q969V6,Myocardin-related transcription factor A,MRTFA,"['KIAA1438', 'MAL', 'MKL1']",57591,ENSG00000196588
Q969W3,Protein FAM104A,FAM104A,[],84923,ENSG00000133193
Q969W8,Zinc finger protein 566,ZNF566,[],84924,ENSG00000186017
Q969W9,Protein TMEPAI,PMEPA1,"['STAG1', 'TMEPAI']",56937,ENSG00000124225
Q969X0,RILP-like protein 2,RILPL2,['RLP2'],196383,ENSG00000150977
Q969X1,Protein lifeguard 3,TMBIM1,"['LFG3', 'RECS1']",64114,ENSG00000135926
Q969X2,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6",ST6GALNAC6,['SIAT7F'],30815,ENSG00000160408
Q969Y0,NXPE family member 3,NXPE3,['FAM55C'],91775,ENSG00000144815
Q969Y2,"tRNA modification GTPase GTPBP3, mitochondrial",GTPBP3,['MTGP1'],84705,ENSG00000130299
Q969Z0,FAST kinase domain-containing protein 4,TBRG4,"['CPR2', 'FASTKD4', 'KIAA0948']",9238,ENSG00000136270
Q969Z3,Mitochondrial amidoxime reducing component 2,MTARC2,"['MARC2', 'MOSC2']",54996,ENSG00000117791
Q969Z4,Tumor necrosis factor receptor superfamily member 19L,RELT,['TNFRSF19L'],84957,ENSG00000054967
Q96A00,Protein phosphatase 1 regulatory subunit 14A,PPP1R14A,"['CPI17', 'PPP1INL']",94274,ENSG00000167641
Q96A04,TSSK6-activating co-chaperone protein,TSACC,['C1orf182'],128229,ENSG00000163467
Q96A09,Terminal nucleotidyltransferase 5B,TENT5B,['FAM46B'],115572,ENSG00000158246
Q96A11,Galactose-3-O-sulfotransferase 3,GAL3ST3,[],89792,ENSG00000175229
Q96A19,Coiled-coil domain-containing protein 102A,CCDC102A,[],92922,ENSG00000135736
Q96A22,Uncharacterized protein C11orf52,C11orf52,[],91894,ENSG00000149300
Q96A23,Copine-4,CPNE4,[],131034,ENSG00000196353
Q96A25,Transmembrane protein 106A,TMEM106A,[],113277,ENSG00000184988
Q96A26,Protein FAM162A,FAM162A,"['C3orf28', 'E2IG5']",26355,ENSG00000114023
Q96A29,GDP-fucose transporter 1,SLC35C1,['FUCT1'],55343,ENSG00000181830
Q96A33,PAT complex subunit CCDC47,CCDC47,[],57003,ENSG00000108588
Q96A37,E3 ubiquitin-protein ligase RNF166,RNF166,[],115992,ENSG00000158717
Q96A44,SPRY domain-containing SOCS box protein 4,SPSB4,['SSB4'],92369,ENSG00000175093
Q96A46,Mitoferrin-2,SLC25A28,['MFRN2'],81894,ENSG00000155287
Q96A47,Insulin gene enhancer protein ISL-2,ISL2,[],64843,ENSG00000159556
Q96A49,Synapse-associated protein 1,SYAP1,[],94056,ENSG00000169895
Q96A54,Adiponectin receptor protein 1,ADIPOR1,"['PAQR1', 'TESBP1A']",51094,ENSG00000159346
Q96A56,Tumor protein p53-inducible nuclear protein 1,TP53INP1,"['P53DINP1', 'SIP']",94241,ENSG00000164938
Q96A59,MARVEL domain-containing protein 3,MARVELD3,['MRVLDC3'],91862,ENSG00000140832
Q96A61,E3 ubiquitin-protein ligase TRIM52,TRIM52,['RNF102'],84851,ENSG00000183718
Q96A65,Exocyst complex component 4,EXOC4,"['KIAA1699', 'SEC8', 'SEC8L1']",60412,ENSG00000131558
Q96A70,Antizyme inhibitor 2,AZIN2,"['ADC', 'KIAA1945', 'ODCP']",113451,ENSG00000142920
Q96A73,Putative monooxygenase p33MONOX,KIAA1191,['P33MONOX'],57179,ENSG00000122203
Q96A83,Collagen alpha-1(XXVI) chain,COL26A1,"['EMID2', 'EMU2']",136227,ENSG00000160963
Q96A84,EMI domain-containing protein 1,EMID1,['EMU1'],129080,ENSG00000186998
Q96A98,Tuberoinfundibular peptide of 39 residues,PTH2,"['TIP39', 'TIPF39']",113091,ENSG00000142538
Q96A99,Pentraxin-4,PTX4,['C16orf38'],390667,ENSG00000251692
Q96AA8,Janus kinase and microtubule-interacting protein 2,JAKMIP2,"['JAMIP2', 'KIAA0555', 'NECC1']",9832,ENSG00000176049
Q96AC1,Fermitin family homolog 2,FERMT2,"['KIND2', 'MIG2', 'PLEKHC1']",10979,ENSG00000073712
Q96AC6,Kinesin-like protein KIFC2,KIFC2,[],90990,ENSG00000167702
Q96AD5,Patatin-like phospholipase domain-containing protein 2,PNPLA2,['ATGL'],57104,ENSG00000177666
Q96AE4,Far upstream element-binding protein 1,FUBP1,[],8880,ENSG00000162613
Q96AE7,Tetratricopeptide repeat protein 17,TTC17,[],55761,ENSG00000052841
Q96AG3,Mitochondrial outer membrane protein SLC25A46,SLC25A46,['TB1'],91137,ENSG00000164209
Q96AG4,Leucine-rich repeat-containing protein 59,LRRC59,[],55379,ENSG00000108829
Q96AH0,SOSS complex subunit B2,NABP1,"['OBFC2A', 'SSB2']",64859,ENSG00000173559
Q96AJ1,Clusterin-associated protein 1,CLUAP1,['KIAA0643'],23059,ENSG00000103351
Q96AM1,Mas-related G-protein coupled receptor member F,MRGPRF,"['GPR140', 'GPR168', 'MRGF']",116535,ENSG00000172935
Q96AN5,Transmembrane protein 143,TMEM143,[],55260,ENSG00000161558
Q96AP0,Adrenocortical dysplasia protein homolog,ACD,"['PIP1', 'PTOP', 'TINT1', 'TPP1']",65057,ENSG00000102977
Q96AP4,Zinc finger-containing ubiquitin peptidase 1,ZUP1,"['C6orf113', 'ZUFSP']",221302,ENSG00000153975
Q96AP7,Endothelial cell-selective adhesion molecule,ESAM,[],90952,ENSG00000149564
Q96AQ1,Coiled-coil domain-containing protein 74A,CCDC74A,[],90557,ENSG00000163040
Q96AQ2,Transmembrane protein 125,TMEM125,[],128218,ENSG00000179178
Q96AQ6,Pre-B-cell leukemia transcription factor-interacting protein 1,PBXIP1,['HPIP'],57326,ENSG00000163346
Q96AQ7,Cell death activator CIDE-3,CIDEC,['FSP27'],63924,ENSG00000187288
Q96AQ8,Mitochondrial calcium uniporter regulator 1,MCUR1,"['C6orf79', 'CCDC90A']",63933,ENSG00000050393
Q96AQ9,Protein FAM131C,FAM131C,['C1orf117'],348487,ENSG00000185519
Q96AT1,Uncharacterized protein KIAA1143,KIAA1143,[],57456,ENSG00000281665
Q96AV8,Transcription factor E2F7,E2F7,[],144455,ENSG00000165891
Q96AW1,"Vesicular, overexpressed in cancer, prosurvival protein 1",VOPP1,"['ECOP', 'GASP']",81552,ENSG00000154978
Q96AX9,E3 ubiquitin-protein ligase MIB2,MIB2,"['SKD', 'ZZANK1']",142678,ENSG00000197530
Q96AY2,Crossover junction endonuclease EME1,EME1,['MMS4'],146956,ENSG00000154920
Q96AY3,Peptidyl-prolyl cis-trans isomerase FKBP10,FKBP10,['FKBP65'],60681,ENSG00000141756
Q96AY4,Tetratricopeptide repeat protein 28,TTC28,"['KIAA1043', 'TPRBK']",23331,ENSG00000100154
Q96B01,RAD51-associated protein 1,RAD51AP1,['PIR51'],10635,ENSG00000111247
Q96B18,Dapper homolog 3,DACT3,['RRR1'],147906,ENSG00000197380
Q96B23,Protein C18orf25,C18orf25,['ARKL1'],147339,ENSG00000152242
Q96B33,Claudin-23,CLDN23,[],137075,ENSG00000285098
Q96B36,Proline-rich AKT1 substrate 1,AKT1S1,['PRAS40'],84335,ENSG00000204673
Q96B49,Mitochondrial import receptor subunit TOM6 homolog,TOMM6,"['OBTP', 'TOM6']",100188893,ENSG00000214736
Q96B54,Zinc finger protein 428,ZNF428,['C19orf37'],126299,ENSG00000131116
Q96B67,Arrestin domain-containing protein 3,ARRDC3,['KIAA1376'],57561,ENSG00000113369
Q96B70,Leukocyte receptor cluster member 9,LENG9,[],94059,ENSG00000273574
Q96B77,Transmembrane protein 186,TMEM186,['C16orf51'],25880,ENSG00000184857
Q96B86,Repulsive guidance molecule A,RGMA,['RGM'],56963,ENSG00000182175
Q96B96,Lipid droplet assembly factor 1,LDAF1,['TMEM159'],57146,ENSG00000283997
Q96B97,SH3 domain-containing kinase-binding protein 1,SH3KBP1,['CIN85'],30011,ENSG00000147010
Q96BA8,Cyclic AMP-responsive element-binding protein 3-like protein 1,CREB3L1,['OASIS'],90993,ENSG00000157613
Q96BD0,Solute carrier organic anion transporter family member 4A1,SLCO4A1,"['OATP1', 'OATP4A1', 'OATPE', 'SLC21A12']",28231,ENSG00000101187
Q96BD5,PHD finger protein 21A,PHF21A,"['BHC80', 'KIAA1696']",51317,ENSG00000135365
Q96BD8,Spindle and kinetochore-associated protein 1,SKA1,['C18orf24'],220134,ENSG00000262634
Q96BF3,Transmembrane and immunoglobulin domain-containing protein 2,TMIGD2,"['CD28H', 'IGPR1']",126259,ENSG00000167664
Q96BF6,Nucleus accumbens-associated protein 2,NACC2,"['BTBD14A', 'NAC2', 'RBB']",138151,ENSG00000148411
Q96BH1,E3 ubiquitin-protein ligase RNF25,RNF25,[],64320,ENSG00000163481
Q96BJ3,"Axin interactor, dorsalization-associated protein",AIDA,['C1orf80'],64853,ENSG00000186063
Q96BK5,PIN2/TERF1-interacting telomerase inhibitor 1,PINX1,"['LPTL', 'LPTS']",54984,ENSG00000254093
Q96BM0,Interferon alpha-inducible protein 27-like protein 1,IFI27L1,['FAM14B'],122509,ENSG00000276880
Q96BN2,Transcriptional adapter 1,TADA1,['TADA1L'],117143,ENSG00000152382
Q96BN6,Primary cilium assembly protein FAM149B1,FAM149B1,['KIAA0974'],317662,ENSG00000138286
Q96BN8,Ubiquitin thioesterase otulin,OTULIN,['FAM105B'],90268,ENSG00000154124
Q96BP3,Peptidylprolyl isomerase domain and WD repeat-containing protein 1,PPWD1,['KIAA0073'],23398,ENSG00000113593
Q96BQ5,Coiled-coil domain-containing protein 127,CCDC127,[],133957,ENSG00000164366
Q96BR1,Serine/threonine-protein kinase Sgk3,SGK3,"['CISK', 'SGKL']",23678,ENSG00000104205
Q96BR6,Zinc finger protein 669,ZNF669,[],79862,ENSG00000188295
Q96BR9,Zinc finger and BTB domain-containing protein 8A,ZBTB8A,['BOZF1'],653121,ENSG00000160062
Q96BT1,Putative uncharacterized protein C3orf49,C3orf49,[],,ENSG00000163632
Q96BT3,Centromere protein T,CENPT,"['C16orf56', 'ICEN22']",80152,ENSG00000102901
Q96BT7,Alkylated DNA repair protein alkB homolog 8,ALKBH8,['ABH8'],91801,ENSG00000137760
Q96BU1,S100P-binding protein,S100PBP,['S100PBPR'],64766,ENSG00000116497
Q96BV0,Zinc finger protein 775,ZNF775,[],285971,ENSG00000196456
Q96BW1,Uracil phosphoribosyltransferase homolog,UPRT,[],139596,ENSG00000094841
Q96BW9,"Phosphatidate cytidylyltransferase, mitochondrial",TAMM41,['C3orf31'],132001,ENSG00000144559
Q96BY2,Modulator of apoptosis 1,MOAP1,['PNMA4'],64112,ENSG00000278268
Q96BY6,Dedicator of cytokinesis protein 10,DOCK10,"['KIAA0694', 'ZIZ3']",55619,ENSG00000135905
Q96BY7,Autophagy-related protein 2 homolog B,ATG2B,['C14orf103'],55102,ENSG00000066739
Q96BY9,Store-operated calcium entry-associated regulatory factor,SARAF,"['TMEM66', 'XTP3']",51669,ENSG00000133872
Q96BZ4,5'-3' exonuclease PLD4,PLD4,['C14orf175'],122618,ENSG00000166428
Q96BZ8,Leukocyte receptor cluster member 1,LENG1,[],79165,ENSG00000275935
Q96BZ9,TBC1 domain family member 20,TBC1D20,['C20orf140'],128637,ENSG00000125875
Q96C00,Zinc finger and BTB domain-containing protein 9,ZBTB9,[],221504,ENSG00000236515
Q96C03,Mitochondrial dynamics protein MID49,MIEF2,"['MID49', 'SMCR7']",125170,ENSG00000284495
Q96C12,Armadillo repeat-containing protein 5,ARMC5,[],79798,ENSG00000140691
Q96C19,EF-hand domain-containing protein D2,EFHD2,['SWS1'],79180,ENSG00000142634
Q96C24,Synaptotagmin-like protein 4,SYTL4,[],94121,ENSG00000102362
Q96C28,Zinc finger protein 707,ZNF707,[],286075,ENSG00000274352
Q96C34,RUN domain-containing protein 1,RUNDC1,[],,ENSG00000198863
Q96C36,Pyrroline-5-carboxylate reductase 2,PYCR2,[],29920,ENSG00000143811
Q96C45,Serine/threonine-protein kinase ULK4,ULK4,[],54986,ENSG00000168038
Q96C55,Zinc finger protein 524,ZNF524,[],147807,ENSG00000171443
Q96C57,Protein CUSTOS,CUSTOS,['C12orf43'],64897,ENSG00000157895
Q96C86,m7GpppX diphosphatase,DCPS,"['DCS1', 'HINT5']",28960,ENSG00000110063
Q96C90,Protein phosphatase 1 regulatory subunit 14B,PPP1R14B,"['PLCB3N', 'PNG']",26472,ENSG00000173457
Q96C92,Endosome-associated-trafficking regulator 1,ENTR1,['SDCCAG3'],10807,ENSG00000165689
Q96CA5,Baculoviral IAP repeat-containing protein 7,BIRC7,"['KIAP', 'LIVIN', 'MLIAP', 'RNF50']",79444,ENSG00000101197
Q96CB5,Putative uncharacterized protein C8orf44,C8orf44,[],,
Q96CB8,Integrator complex subunit 12,INTS12,['PHF22'],57117,ENSG00000138785
Q96CB9,5-methylcytosine rRNA methyltransferase NSUN4,NSUN4,[],387338,ENSG00000117481
